# subsample, gamma, colsample_bytree, max_depth, min_child_weight, target
5.307241586061259842e-01,1.800210210574691994e+00,8.919720028655090394e-01,1.133043238703976741e+01,7.510577890403573598e+00,-1.137269399999999875e+00
8.144037120370442029e-01,3.529115411877032926e+00,9.364765511312818091e-01,5.639667388699144190e+00,8.973485625677188438e+00,-1.105955999999999939e+00
7.723042861369822099e-01,9.987923989053019369e+00,7.168501618886129467e-01,1.046254389970600407e+01,1.596902755438506105e+01,-1.133213400000000037e+00
9.862350880128800679e-01,7.802152993672116565e+00,9.242648126566819222e-01,1.487262392424807800e+01,1.829439339284633448e+01,-1.121606600000000231e+00
8.082934273419627447e-01,1.476063121673883982e+00,9.580894282324696754e-01,8.794826020420998702e+00,1.668799821532680916e+00,-1.122226399999999957e+00
5.277633595255847299e-01,3.654690844162705510e+00,5.486849251560430574e-01,5.370977546865396413e+00,1.698773217461210194e+01,-1.120169799999999771e+00
6.763666427626706668e-01,2.476118272414126409e+00,6.622005042822265430e-01,6.933375923776229577e+00,8.759494941851691863e+00,-1.103904599999999903e+00
8.824044990033751423e-01,3.303013209407872353e+00,6.852973121122045708e-01,1.069734513482888261e+01,1.221159129631844209e+01,-1.103179799999999933e+00
9.313252096111837020e-01,4.199257315559568937e+00,5.708540768736232174e-01,1.165913268098989342e+01,1.483682977880115139e+01,-1.102633599999999880e+00
7.292543092806353933e-01,4.435402900668990789e+00,6.453236087187683712e-01,1.431137403842034672e+01,7.793219702536769766e+00,-1.104791799999999879e+00
5.012571711784289397e-01,1.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e+00,1.000000000000000000e+00,-1.144017199999999956e+00
9.999999995207059511e-01,9.513577068713154006e+00,7.529627441442131586e-01,1.498804775891616892e+01,2.988938019841246518e+00,-1.129421999999999926e+00
5.000000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e-01,1.500000000000000000e+01,2.000000000000000000e+01,-1.157106799999999769e+00
1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,1.490995611184108860e+01,1.747702857400156962e+00,-1.293612400000000218e+00
1.000000000000000000e+00,0.000000000000000000e+00,8.385895986251328260e-01,5.000000000000000000e+00,1.000000012967438678e+00,-1.104292999999999747e+00
5.000000000000000000e-01,9.294566202897517115e+00,5.000000000000000000e-01,1.432567644672535501e+01,1.021383132262904425e+01,-1.138438799999999862e+00
1.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e+00,2.000000000000000000e+01,-1.147330799999999984e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.000000000475703921e+00,2.000000000000000000e+01,-1.112161199999999850e+00
1.000000000000000000e+00,6.443027402637772738e+00,5.000000000000000000e-01,9.333402947611995515e+00,4.412555441925146482e+00,-1.118452599999999908e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.970808348426767331e+00,1.357881890448703288e+01,-1.107144799999999929e+00
5.278242536313123567e-01,5.139750283558687904e+00,1.000000000000000000e+00,5.000000000000000000e+00,1.195998736724802169e+00,-1.114845799999999887e+00
1.000000000000000000e+00,4.727938394079561846e+00,1.000000000000000000e+00,1.089752536212385259e+01,1.999999999809996609e+01,-1.112220399999999998e+00
9.398177282015819367e-01,1.312270151012450592e+00,9.181423087392605042e-01,5.497319038854967310e+00,4.022995068893898463e+00,-1.101955999999999936e+00
9.999999910470251940e-01,3.763255846902946011e+00,1.000000000000000000e+00,1.486349160073781128e+01,1.168676977067131340e+01,-1.103817800000000293e+00
9.947447199170885712e-01,5.332899970344603169e+00,1.000000000000000000e+00,1.006714380301768763e+01,1.093646606504094443e+01,-1.107971399999999829e+00
1.000000000000000000e+00,2.807571232475618128e+00,9.999999967944772639e-01,8.136891686890743713e+00,1.546230040346911316e+01,-1.103235199999999860e+00
1.000000000000000000e+00,6.165859744564581746e+00,9.743503717316891466e-01,1.476055738384446414e+01,8.252765390556938030e+00,-1.115136600000000033e+00
5.000000000000000000e-01,1.380870134252654424e-01,9.975039819064432933e-01,5.000000039485110293e+00,4.273062254007673033e+00,-1.109279600000000032e+00
5.000000000000000000e-01,2.572474995873077042e+00,5.000000000000000000e-01,5.144579806080071371e+00,1.187530594265349926e+01,-1.113627200000000261e+00
1.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e-01,1.448019479893997463e+01,2.000000000000000000e+01,-1.136956000000000078e+00
9.836064320616640932e-01,7.914443955980257961e+00,6.242408450367776807e-01,1.138389887914243381e+01,1.000000000000000000e+00,-1.117083800000000071e+00
5.000000000000000000e-01,4.729989600686877793e+00,9.999999889763356853e-01,1.370183221762398951e+01,1.359627188984769219e+01,-1.117069199999999984e+00
