# colsample_bytree, num_rounds, min_child_weight, subsample, eta, max_depth, gamma, target
9.203451715907517983e-01,1.981736513452912050e+02,2.600143668938493580e+00,5.474094473622963530e-01,2.426327680033447676e-01,3.139132248219013377e+00,4.803901333593735279e-01,-9.952532000000001711e-01
9.726792355178760507e-01,2.434310085260732137e+02,1.448141585931322517e+01,9.677056081870256676e-01,1.409479611424135359e-01,7.598452103716587303e+00,4.872661868557714993e-01,-1.001181800000000122e+00
9.795444861052354790e-01,1.744864649527651181e+02,1.938652884340714522e+01,8.443316461207233115e-01,2.228756884916350267e-01,9.476617799104113615e+00,2.258171454331873385e+00,-9.918943999999999539e-01
8.414785474015489264e-01,1.507260259472499229e+02,6.191195038916061044e+00,7.508691550347201815e-01,2.846492976852500467e-01,6.490522667503692666e+00,3.643660509995412244e+00,-9.860504000000001046e-01
7.870399790504716275e-01,3.791011301943381113e+02,6.514861497082754305e+00,9.011526073608162601e-01,1.851306337405555016e-02,5.602879062133519383e+00,3.978863837310481877e+00,-9.721944000000000141e-01
7.540622578514774021e-01,4.993728476215675869e+02,1.009452907847024861e+01,7.574136206078361244e-01,2.752634239366813507e-01,6.223101783335904358e+00,4.045421879245491681e+00,-9.735660000000001535e-01
7.323167619973062203e-01,5.567083455109185763e+01,1.648730053878727375e+01,9.411545679114580176e-01,0.000000000000000000e+00,3.343373317490447860e+00,3.317188846268767755e+00,-1.227230400000000277e+00
5.000000672494873122e-01,4.395555677934576693e+02,2.000000000000000000e+01,5.000000273465845524e-01,2.192890764561104544e-01,1.000000000000000000e+01,5.000000000000000000e+00,-9.952663999999999955e-01
9.552240852666814552e-01,3.073054681543013089e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.104566824930240054e-02,1.000000000000000000e+01,4.816403402036077530e+00,-9.821911999999999310e-01
9.999999999931014072e-01,4.684669020636503092e+02,1.000000000000000000e+00,9.999999999965938358e-01,2.999999999999999889e-01,6.921458185102085103e+00,0.000000000000000000e+00,-1.031624799999999897e+00
5.247167863262496290e-01,3.414414108176259788e+02,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,2.501220050930198724e+00,-9.911843999999998545e-01
7.972128954386017430e-01,3.995307765095357126e+02,1.953985560811019795e+01,8.487067883690685433e-01,1.253109392719833348e-01,8.737995134223393023e+00,5.000000000000000000e+00,-9.808792000000000622e-01
6.967827835808031445e-01,3.670626473717055660e+02,7.154392283716384249e+00,7.324535117007116014e-01,4.970470689341698056e-02,8.807667674162720672e+00,4.948858949071192725e+00,-9.747680000000000788e-01
7.394845793595845596e-01,4.930371246227990127e+02,1.667896987295788236e+01,5.137655727863593702e-01,5.278161477466806334e-02,4.129509453954703702e+00,1.501782317000449840e+00,-9.955268000000000450e-01
6.263615837562835909e-01,2.693808328988208132e+02,8.921688354801366572e+00,6.700198104747678851e-01,4.654995944894797094e-02,3.000000046656063457e+00,4.891173812974139778e+00,-9.950939999999999230e-01
1.000000000000000000e+00,1.951861717630263797e+02,1.554143680783259818e+00,8.808292176206617974e-01,9.679001767445577498e-02,7.756799972346381189e+00,4.518661082013937680e+00,-9.761575999999999587e-01
5.000000007311522499e-01,1.673232910201089680e+02,1.000000000000000000e+00,5.000000000000000000e-01,2.999999983437005580e-01,8.353091329287234856e+00,4.999999999266909967e+00,-9.877829999999999666e-01
5.987576137093529871e-01,2.077387527655584734e+02,1.373852562018999635e+01,5.109070480640437451e-01,1.209344674543951642e-01,6.892853475457360268e+00,4.737799827267030750e+00,-9.927322000000000646e-01
1.000000000000000000e+00,2.286091713681057342e+02,1.047437977288035782e+00,1.000000000000000000e+00,1.684661338392498334e-08,8.067768437699776030e+00,5.000000000000000000e+00,-9.833317999999999781e-01
1.000000000000000000e+00,1.460510964356996908e+02,2.000000000000000000e+01,1.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+01,5.000000000000000000e+00,-1.000109200000000031e+00
9.999998983864307744e-01,3.797345699159477022e+02,2.000000000000000000e+01,9.999997959584627782e-01,2.999999999999999889e-01,5.643981523205420459e+00,5.000000000000000000e+00,-9.922755999999999243e-01
6.704238637330007800e-01,3.567605131292612555e+02,2.702785855817226413e+00,5.767393520295447384e-01,1.375366128529826570e-09,3.703252831377581877e+00,1.852535269199975465e+00,-9.790825999999999141e-01
8.240453358152253216e-01,3.982419861480983627e+02,5.608119767357934826e+00,6.542094930994262203e-01,0.000000000000000000e+00,6.060251795787531037e+00,1.057681366075273521e+00,-1.012339399999999889e+00
9.058536423621732503e-01,3.011021295880939874e+02,1.645851722705275577e+01,1.000000000000000000e+00,8.843263961457999145e-02,5.509013039349065721e+00,4.913747693541539618e+00,-9.906973999999999503e-01
9.220703358181311371e-01,3.360158063711240288e+02,5.157535775335365003e+00,7.781717527894682629e-01,2.660428952656411217e-01,7.857470821182353404e+00,1.863838638616724053e+00,-9.933868000000000142e-01
5.575008179523250895e-01,3.728680144436671071e+02,1.593447652329809561e+00,5.092809749127196195e-01,9.167010829306826425e-02,3.112087906327269060e+00,4.826111247492367085e+00,-9.884191999999998313e-01
6.174424776899202216e-01,4.999999998163722239e+02,5.192764357371334683e+00,5.000000026656221674e-01,2.999999999999999889e-01,1.000000000000000000e+01,6.477230312953869973e-01,-1.181173800000000051e+00
1.000000000000000000e+00,1.054219696091729475e+02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,-1.083459599999999856e+00
9.375230808410390804e-01,4.422976784479729417e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.406458208030658788e-08,3.000000000000000000e+00,5.000000000000000000e+00,-1.000282200000000010e+00
1.000000000000000000e+00,4.695859608477680354e+02,2.000000000000000000e+01,1.000000000000000000e+00,2.578577743953713863e-02,3.000000000000000000e+00,5.000000000000000000e+00,-1.005186600000000041e+00
1.000000000000000000e+00,2.809702308397069714e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+01,0.000000000000000000e+00,-1.162699600000000055e+00
5.000000000000000000e-01,1.133760461978668701e+02,2.000000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,-1.079704800000000020e+00
5.000000000000000000e-01,5.000000000000000000e+02,2.000000000000000000e+01,1.000000000000000000e+00,1.305797301642042108e-01,3.000000000000000000e+00,5.000000000000000000e+00,-1.005182199999999915e+00
1.000000000000000000e+00,4.861101883557751080e+02,1.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,-9.859914000000001844e-01
1.000000000000000000e+00,2.321019529058125954e+02,2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,-1.007597599999999982e+00
